index,link,Title,Price,km,Zustand,Registration date,kW,hp,transmission,Ffuel,Type,Previous Owners,Last Service Date,Warranty,Full Service,Non-smoking Vehicle,Make,Model,First Registration,Body Color,Paint Type,Upholstery,Body,Nr. of Doors,Nr. of Seats,Gearing Type,Gears,Displacement,Cylinders,Weight,Fuel,ConsumptionYou can obtain more information on the official fuel consumption and official specific CO2 emissions of new passenger vehicles from the guideline on fuel consumption and CO2 emissions of new passenger vehicles. This guideline is available free of charge at all dealerships and from Deutsche Automobil Treuhand GmbH at www.dat.de.,CO2 EmissionYou can obtain more information on the official fuel consumption and official specific CO2 emissions of new passenger vehicles from the guideline on fuel consumption and CO2 emissions of new passenger vehicles. This guideline is available free of charge at all dealerships and from Deutsche Automobil Treuhand GmbH at www.dat.de.,Offer Number,Body Color Original,Drive chain,Emission Class,Availability,Country version,Emission Label,Next Inspection,Electricity consumptionYou can obtain more information on the official fuel consumption and official specific CO2 emissions of new passenger vehicles from the guideline on fuel consumption and CO2 emissions of new passenger vehicles. This guideline is available free of charge at all dealerships and from Deutsche Automobil Treuhand GmbH at www.dat.de.,Inspection new,Model Code,Last Timing Belt Service Date,Other Fuel Types,CO2 Emission
39,https://www.autoscout24.com//offers/mercedes-benz-c-180-bluetec-d-7g-tronic-diesel-black-69b2669a-177b-f015-e053-e250040a4fc6,Mercedes-Benz C 180 (BlueTEC) d 7G-TRONIC,"€ 19,900.-","58,000 km",Used,04/2017,85 kW,116 hp,"Automatic, Diesel","Automatic, Diesel",Used,,,,,,Mercedes-Benz,C 180,2017,Black,,,Sedans,4,5,Automatic,7,"1,598 cc",4,"1,485 kg",Diesel (Particulate Filter),"3.9 l/100 km (comb)
4.7 l/100 km (city)
3.5 l/100 km (country)",99 g CO2/km (comb),,,,Euro 6,,,,,,,,,,
40,https://www.autoscout24.com//offers/hyundai-i40-1-7-crdi-aut-diesel-black-91f23044-4bbc-4753-9a32-b0687ec12286,"Hyundai i40 1,7 CRDi Aut.","€ 14,900.-","51,478 km",Used,03/2015,100 kW,136 hp,"Automatic, Diesel","Automatic, Diesel",Used,,,,,,Hyundai,i40,2015,Black,Metallic,"Cloth, Grey",Station wagon,5,5,Automatic,6,"1,685 cc",,,Diesel (Particulate Filter),"5.6 l/100 km (comb)

",149 g CO2/km (comb),3351994,schwarz,front,Euro 5,,,,,,,,,,
41,https://www.autoscout24.com//offers/renault-megane-grandtour-limited-blue-dci-115ps-navi-city-paket-diesel-blue-1bfe62c3-aba4-465b-94fc-9d977df0e17a,Renault Megane Grandtour Limited Blue dCi 115PS+NAVI+City Paket+,"€ 17,190.-","17,210 km",Used,06/2019,85 kW,116 hp,"Manual, Diesel","Manual, Diesel",Used,1,,48 months,,,Renault,Megane,2019,Blue,Metallic,"Cloth, Grey",Station wagon,5,5,Manual,6,"1,461 cc",4,"1,425 kg",Diesel (Particulate Filter),,,TRAN3186991,Cosmos Blau,front,,in 7 days from ordering,,,06/2022,,,,,,
42,https://www.autoscout24.com//offers/volkswagen-polo-4friends-1-2-tdi-servicegepflegt-diesel-blue-3da3cb9a-c837-c732-e053-e250040aa9ee,"Volkswagen Polo 4FRIENDS 1,2 TDI/Servicegepflegt","€ 5,990.-","110,000 km","Used, Full Service History",12/2010,55 kW,75 hp,"Manual, Diesel","Manual, Diesel",Used,1,,,,,Volkswagen,Polo,2010,Blue,,Black,Sedans,5,5,Manual,5,"1,199 cc",3,"1,132 kg",Diesel (Particulate Filter),"4.2 l/100 km (comb)

",99 g CO2/km (comb),,,,Euro 5,,,,,,,,,,
43,https://www.autoscout24.com//offers/opel-mokka-allrad-1-4-turbo-ecotec-cosmo-gasoline-white-69ae6286-2db8-4b3e-ae98-087835ea4c96,"Opel Mokka Allrad 1,4 Turbo Ecotec Cosmo","€ 12,990.-","87,496 km",Used,07/2014,103 kW,140 hp,"Manual, Gasoline","Manual, Gasoline",Used,,,6 months,,,Opel,Mokka,2014,White,,,Off-Road/Pick-up,5,5,Manual,,"1,364 cc",,"1,425 kg",Gasoline,"6.4 l/100 km (comb)

",149 g CO2/km (comb),94,weiss,4WD,Euro 5,,,,07/2020,,,,,,
44,https://www.autoscout24.com//offers/volkswagen-golf-vii-tdi-1-6-bmt-dsg-join-navi-kamera-klimaaut-diesel-yellow-f510f6b7-c1cf-4906-a865-6fe1884b1ef3,Volkswagen Golf VII TDI 1.6 BMT DSG Join Navi Kamera Klimaaut,"€ 21,016.-","9,964 km",Used,10/2018,85 kW,116 hp,"Automatic, Diesel","Automatic, Diesel",Used,,,,,,Volkswagen,Golf,2018,Yellow,Metallic,Cloth,Sedans,5,,Automatic,,"1,598 cc",,,Diesel (Particulate Filter),"3.9 l/100 km (comb)
4.1 l/100 km (city)
3.8 l/100 km (country)",103 g CO2/km (comb),3432234,gelb,,,,,,10/2021,,,,,,
45,https://www.autoscout24.com//offers/audi-a6-avant-quattro-2-5-v6-schaltgetriebe-tdi-diesel-black-babe9d9a-c579-b979-e053-e250040a5f0c,"Audi A6 Avant quattro 2,5 V6 Schaltgetriebe TDI","€ 4,600.-","306,000 km",Used,05/2000,132 kW,179 hp,"Manual, Diesel","Manual, Diesel",Used,,11/2019,,,,Audi,A6,2000,Black,Metallic,"Full leather, Black",Station wagon,5,5,Manual,6,"2,496 cc",6,"1,735 kg",Diesel,"8 l/100 km (comb)
11.2 l/100 km (city)
6.3 l/100 km (country)",213 g CO2/km (comb),,,4WD,,,,,05/2020,,,,11/2019,,
46,https://www.autoscout24.com//offers/fiat-500-1-2-sport-gasoline-blue-730ffb99-8b09-7742-e053-e250040a5d36,"Fiat 500 1,2 Sport","€ 3,450.-","134,000 km",Used,02/2008,51 kW,69 hp,"Manual, Gasoline","Manual, Gasoline",Used,,,,,,Fiat,500,2008,Blue,,,Sedans,3,4,Manual,5,"1,242 cc",4,865 kg,Gasoline,"5.1 l/100 km (comb)
6.4 l/100 km (city)
4.3 l/100 km (country)",119 g CO2/km (comb),,,,Euro 5,,,,,,,,,,
47,https://www.autoscout24.com//offers/ford-fiesta-trend-1-1-start-stop-gasoline-grey-ab4957a2-7f13-449b-a23c-d0ccaf2e92eb,"Ford Fiesta Trend 1,1 Start/Stop","€ 9,990.-","10,700 km","Used, Full Service History",09/2018,51 kW,69 hp,"Manual, Gasoline","Manual, Gasoline",Used,1,,,,,Ford,Fiesta,2018,Grey,Metallic,"Cloth, Black",Sedans,5,5,Manual,5,"1,084 cc",3,"1,157 kg",Gasoline,"5.1 l/100 km (comb)
6.4 l/100 km (city)
4.3 l/100 km (country)",115 g CO2/km (comb),98,,front,Euro 6d-TEMP,,,,,,,,,,
48,https://www.autoscout24.com//offers/peugeot-508-2-0-bluehdi-180-eat8-s-s-allure-diesel-blue-02e904c1-c458-415e-af3d-14d310b95283,"Peugeot 508 2,0 BlueHDi 180 EAT8 S&S Allure","€ 29,990.-","7,508 km","Used, Full Service History",12/2018,130 kW,177 hp,"Semi-automatic, Diesel","Semi-automatic, Diesel",Used,1,,,,,Peugeot,508,2018,Blue,Metallic,"Part leather, Black",Sedans,5,5,Semi-automatic,8,"1,997 cc",,,Diesel (Particulate Filter),"6 l/100 km (comb)
3 l/100 km (city)
4 l/100 km (country)",123 g CO2/km (comb),3277092,blau,front,Euro 6,,,,,,,,,,
49,https://www.autoscout24.com//offers/volkswagen-touran-comfortline-1-6-bmt-tdi-dpf-diesel-black-88395d8f-6078-0117-e053-e250040a38f6,"Volkswagen Touran Comfortline 1,6 BMT TDI DPF","€ 9,900.-","149,000 km",Used,12/2013,77 kW,105 hp,"Manual, Diesel","Manual, Diesel",Used,,,,,,Volkswagen,Touran,2013,Black,,,Van,5,5,Manual,6,"1,598 cc",4,"1,544 kg",Diesel (Particulate Filter),"4.7 l/100 km (comb)

",121 g CO2/km (comb),,,,Euro 5,,,,,,,,,,
50,https://www.autoscout24.com//offers/bmw-330-3er-reihe-diesel-e46-aut-diesel-blue-6a5ce99a-63a2-0109-e053-e250040a62c0,BMW 330 3er-Reihe Diesel (E46) Aut.,"€ 6,300.-","241,300 km",Used,07/2001,135 kW,184 hp,"Semi-automatic, Diesel","Semi-automatic, Diesel",Used,3,,,,,BMW,330,2001,Blue,,,Sedans,4,5,Semi-automatic,5,"2,926 cc",6,"1,595 kg",Diesel (Particulate Filter),"8 l/100 km (comb)
11.2 l/100 km (city)
6.2 l/100 km (country)",213 g CO2/km (comb),,,,Euro 3,,,,,,,,,,
